Agency,OfficeCode,ClientName,DebtorsAccountCode,MediaName,ClientCode,ProductCode,ProductName,CampaignCode,CampaignName,BuyMonth,BuySerial,BookingCategoryShortname,SupplierName,BuyerName,BuyerPID,BuyDate,BookedDate,LastAmendedInvoice,CampaignReference,ClientReference,BillComments,PO,PO_Reference,Gross,MediaDiscountPercentage,Payable,Paid,UnPaid,AgencyCommission,Billable,Billed,UnBilled,LevyBillable,Unbilled Client Cost,VATBillable,Vouchered,AgencyCommentBy,Action,AgencyCommentDate,Bill,LocalCurrencyCode,AccountExchangerate,BillableCurrency,ASBOF / BASBOF,BilledCurrency,UnbilledCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,FACEBOOK,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,FACEBOOK,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,SNAPCHAT,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,FACEBOOK,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jun-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jul-24,,BiddSocial,FACEBOOK,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jul-24,,TechFees,INTEGRAL AD SCIENCE UK LIMITED,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jul-24,,BiddSocial,FACEBOOK,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,SEARCH&SOC,,,NO 5,5,CHANEL_NO5LEAUDROP_SOCIA,Jul-24,,BiddSocial,TIKTOK INFORMATION TECHNOLOGIE,,,,,,,,,PO00068664,PO00068664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
